"id","URI","expression"
2890843,"/repositories/11/archival_objects/688156",1991
2890733,"/repositories/6/archival_objects/2622090","6/1960"
2890662,"/repositories/6/archival_objects/2622003","8/1964"
2890659,"/repositories/6/archival_objects/2622000","6/1960"
2890652,"/repositories/6/archival_objects/2621993","5/1976"
2890646,"/repositories/6/archival_objects/2621987","5/1962"
2890634,"/repositories/6/archival_objects/2621970","4/1936"
2890622,"/repositories/6/archival_objects/2621958","9/1960"
2890613,"/repositories/6/archival_objects/2621952","10/1935"
2890608,"/repositories/6/archival_objects/2621948","12/1965"
2890590,"/repositories/6/archival_objects/2621923","11/1961"
2890482,"/repositories/6/archival_objects/2621890","6/1964"
2890474,"/repositories/6/archival_objects/2621884","7/1960"
2890470,"/repositories/6/archival_objects/2621880","5/1962"
2890467,"/repositories/6/archival_objects/2621876","6/1964"
2890466,"/repositories/6/archival_objects/2621875","8/1964"
2890250,"/repositories/10/archival_objects/2862634","1895-1899"
2890249,"/repositories/10/archival_objects/2862633","1890-1894"
2890248,"/repositories/10/archival_objects/2862598",1874
2890211,"/repositories/10/archival_objects/2862599","1880-1889"
2890209,"/repositories/10/archival_objects/2862597","1899 February 10"
2890208,"/repositories/10/archival_objects/2862596","1899 February 10"
2890207,"/repositories/10/archival_objects/2862595","1899 February"
2890174,"/repositories/10/archival_objects/2854844","1894-1899"
2890172,"/repositories/10/archival_objects/2862561","1899 May"
2890122,"/repositories/10/archival_objects/2862514","1899 February 10"
2890116,"/repositories/10/archival_objects/2862507","1899 February"
2890108,"/repositories/10/archival_objects/2861060",1899
2889973,"/repositories/10/archival_objects/2258972","1966-1968, 1982"
2889966,"/repositories/10/archival_objects/2287524","1970-1990"
2889951,"/repositories/10/archival_objects/2835304",1973
2889949,"/repositories/10/archival_objects/2377361","2004 April 22-23"
2889771,"/repositories/10/archival_objects/2797882","1979-2004"
2889704,"/repositories/11/archival_objects/2862154","early 1970s"
2889696,"/repositories/6/archival_objects/2621856","4/1962"
2889691,"/repositories/6/archival_objects/2621849","7/1969"
2889682,"/repositories/6/archival_objects/2621844","4-5/1976"
2889676,"/repositories/6/archival_objects/2621837","1/1961"
2889673,"/repositories/6/archival_objects/2621834","9/1961"
2889661,"/repositories/11/archival_objects/735285",1990
